krok;ilosc_miast;ilosc_reaktorow;kierunek_wiatru;laczna_populacja;laczne_zapotrzebowanie;aktywne_reaktory
1;130;12;W;5900821;2950,41;12
2;130;13;C;5953543;2976,77;13
3;131;13;SW;6094053;3047,03;13
4;131;13;S;6160008;3080,00;13
5;131;13;SE;6213473;3106,74;13
6;132;13;SE;6341719;3170,86;13
7;132;13;E;6416754;3208,38;13
8;132;13;SW;6485226;3242,61;13
9;133;13;C;6602039;3301,02;13
10;133;13;E;6670165;3335,08;13
11;133;13;N;6727043;3363,52;13
12;134;13;N;6811260;3405,63;13
13;134;13;SW;6876242;3438,12;13
14;134;13;C;6940753;3470,38;13
15;135;13;S;7068343;3534,17;13
16;135;13;W;7137979;3568,99;13
17;135;13;SW;7207296;3603,65;13
18;136;13;SE;7318371;3659,19;13
19;136;13;SE;7396339;3698,17;13
20;136;13;NW;7464279;3732,14;13
21;137;13;C;7575982;3787,99;13
22;137;13;SE;7644126;3822,06;13
23;137;13;SW;7751369;3875,68;13
24;138;13;NW;7880828;3940,41;13
25;138;13;NW;7953886;3976,94;13
26;138;13;W;8030974;4015,49;13
27;139;13;NW;8172030;4086,02;13
28;139;13;NE;8251090;4125,55;13
29;139;13;S;8333102;4166,55;13
30;140;13;SW;8437409;4218,70;13
31;140;13;NE;8519247;4259,62;13
32;140;13;C;8609785;4304,89;13
33;141;13;NW;8764117;4382,06;13
34;141;13;NW;8842374;4421,19;13
35;141;13;W;8932988;4466,49;13
36;142;13;NW;9113496;4556,75;13
37;142;13;SW;9215410;4607,71;13
38;142;13;N;9293864;4646,93;13
39;143;13;S;9457274;4728,64;13
40;143;13;SW;9569647;4784,82;13
41;143;13;N;9667920;4833,96;13
42;144;14;SW;9829103;4914,55;14
43;144;14;S;9920733;4960,37;14
44;144;14;SW;10024911;5012,46;14
45;145;14;C;10193293;5096,65;14
46;145;14;W;10286480;5143,24;14
47;145;14;W;10371265;5185,63;14
48;146;14;SE;10544509;5272,25;14
49;146;14;SE;10651611;5325,81;14
50;146;14;N;10769679;5384,84;14
51;147;14;W;10944027;5472,01;14
52;147;14;NW;11040377;5520,19;14
53;147;14;C;11137542;5568,77;14
54;148;14;W;11278579;5639,29;14
55;148;14;SE;11385617;5692,81;14
56;148;14;E;11498323;5749,16;13
57;149;14;SW;11623383;5811,69;12
58;149;16;NE;11742024;5871,01;13
59;149;17;NW;11843947;5921,97;14
60;150;17;NW;12001128;6000,56;14
61;150;17;C;12116473;6058,24;14
62;150;17;W;12252134;6126,07;14
63;151;17;NW;12417915;6208,96;14
64;151;17;SW;12553551;6276,78;14
65;151;17;E;12675952;6337,98;13
66;152;18;NW;12829089;6414,54;14
67;152;18;E;12973666;6486,83;14
68;152;18;NE;13094010;6547,01;14
69;153;18;NW;13250234;6625,12;14
70;153;18;SW;13395114;6697,56;14
